[

[ id,first_name,last_name,email,gender,Salary,Stock Market Cap ]
[ 89,Shelly,Skudder,sskudder2g@abc.net.au,Male,Dollar,$14.31B ]
[ 90,Fionna,Breslane,fbreslane2h@mozilla.org,Genderqueer,Yuan Renminbi,$753.17M ]
[ 91,Dan,Murdy,dmurdy2i@yale.edu,Genderfluid,Yuan Renminbi,n/a ]
[ 92,Lissy,Rawsthorne,lrawsthorne2j@issuu.com,Genderfluid,Euro,$663.12B ]
[ 93,Stacy,Wardingly,swardingly2k@bluehost.com,Female,Lek,n/a ]
[ 94,Jolene,Vann,jvann2l@zimbio.com,Genderqueer,Yuan Renminbi,$46.21B ]
[ 95,Blaire,Brion,bbrion2m@a8.net,Bigender,Rupiah,$703.55M ]
[ 96,Durante,Levesley,dlevesley2n@trellian.com,Female,Sol,$52.75M ]
[ 97,Ilysa,Fricke,ifricke2o@privacy.gov.au,Genderqueer,Marka,$480.47M ]
[ 98,Markos,Dupree,mdupree2p@nba.com,Non-binary,Ruble,$88.03M ]
[ 99,Kizzie,Smye,ksmye2q@lulu.com,Genderfluid,Yuan Renminbi,$2.76B ]

]
